author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/298050405/;Москва и МО;sale;flat;7;9;2;108.3;154000000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
ID 47664046;unknown;https://www.cian.ru/sale/flat/308204535/;Москва и МО;sale;flat;5;17;2;65.2;21500000;Черемушки;Профсоюзная ;30К2;Профсоюзная;
СК10;developer;https://rostov.cian.ru/sale/flat/304874044/;Москва и МО;sale;flat;15;24;2;52.95;9160000;Кировский;Красноармейская ;250;;Космос
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679729/;Москва и МО;sale;flat;9;20;2;59.0;25370000;Даниловский;;;Тульская;Форст ЖК
Delight Realty;real_estate_agent;https://www.cian.ru/sale/flat/307935729/;Москва и МО;sale;flat;8;10;2;59.7;55000000;Таганский;Котельническая набережная;1/15кВ;Таганская;
СЗ Феникс;developer;https://rostov.cian.ru/sale/flat/305377450/;Москва и МО;sale;flat;15;19;2;42.1;8129999;Советский;проспект Стачки;198В;;Times
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/305909779/;Москва и МО;sale;flat;6;10;2;178.1;150000000;Тверской;Большая Грузинская ;69;Белорусская;Четыре Ветра
ID 74991203;homeowner;https://www.cian.ru/sale/flat/308079051/;Москва и МО;sale;flat;3;24;2;53.2;19570000;Донской;Новоданиловская набережная;8к2;Верхние котлы;Новоданиловская 8
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/305791387/;Москва и МО;sale;flat;6;23;2;52.3;6892000;Кировский;;;Машиностроителей;Основинские кварталы ЖК
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/304519685/;Москва и МО;sale;flat;39;41;2;56.9;39000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
ID 7150714;homeowner;https://spb.cian.ru/sale/flat/308695839/;Москва и МО;sale;flat;2;5;2;46.0;18000000;Петроградский;Каменноостровский проспект;64С;Петроградская;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/301967067/;Москва и МО;sale;flat;22;28;2;48.1;11409000;Центр; Свердлова;10;Динамо;Екатерининский парк
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/305274218/;Москва и МО;sale;flat;2;5;2;84.63;139639500;Басманный;Потаповский переулок;6С1;Чистые пруды;Абрикосов
OPN PARTNER;real_estate_agent;https://krasnogorsk.cian.ru/sale/flat/299929933/;Москва и МО;sale;flat;2;7;2;55.0;8899000;с. Николо-Урюпино; Полковника Глазунова;15;;Лесобережный
ЭНКО;representative_developer;https://tyumen.cian.ru/sale/flat/301181335/;Москва и МО;sale;flat;2;12;2;52.68;6460000;д. Патрушева; Петра Ершова;12;;ЖР 
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/307575540/;Москва и МО;sale;flat;4;21;2;54.0;59000000;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/294511036/;Москва и МО;sale;flat;4;23;2;90.6;45000000;Хорошевский; Гризодубовой;2;ЦСКА;Гранд-парк
ЕкатеринодарИнвест-Строй;developer;https://krasnodar.cian.ru/sale/flat/294669694/;Москва и МО;sale;flat;2;15;2;58.65;12742886;;;;;Екатерининский парк
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/301763282/;Москва и МО;sale;flat;39;41;2;56.9;40000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
НДВ;real_estate_agent;https://www.cian.ru/sale/flat/308421741/;Москва и МО;sale;flat;13;17;2;52.2;19950000;Теплый Стан;Ленинский проспект;127;Тропарёво;
СК10;developer;https://rostov.cian.ru/sale/flat/306489398/;Москва и МО;sale;flat;2;9;2;40.15;5230000;Железнодорожный;бульвар Платова;14;;Сезоны
ID 52825739;homeowner;https://www.cian.ru/sale/flat/307814530/;Москва и МО;sale;flat;7;15;2;46.5;23900000;Хорошевский;Ходынский бульвар;20А;ЦСКА;Лайнер
ID 116114838;homeowner;https://www.cian.ru/sale/flat/308719974/;Москва и МО;sale;flat;2;11;2;42.4;12850000;;бульвар Веласкеса;7к1;Ольховая;
СК10;developer;https://rostov.cian.ru/sale/flat/297424924/;Москва и МО;sale;flat;23;25;2;38.68;5440000;Октябрьский;;;;Гринсайд ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308872981/;Москва и МО;sale;flat;37;37;2;48.0;42500000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
DOGMA;developer;https://krasnodar.cian.ru/sale/flat/305422283/;Москва и МО;sale;flat;3;18;2;56.2;6406800;;;;;Парк Победы - 2
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/305658950/;Москва и МО;sale;flat;2;9;2;74.0;30000000;Очаково-Матвеевское;Аминьевское шоссе;4Дк2;Аминьевская;Вестердам
House Estate;real_estate_agent;https://spb.cian.ru/sale/flat/307668200/;Москва и МО;sale;flat;1;8;2;48.3;8650000;Кировский; Лени Голикова;74;Проспект Ветеранов;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/299168872/;Москва и МО;sale;flat;2;9;2;73.9;25839000;Центр; Михаила Ананьева;;Динамо;Клубный дом инженера Ятеса
ID 109135729;realtor;https://www.cian.ru/sale/flat/307434429/;Москва и МО;sale;flat;3;21;2;59.2;61000000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Солнечный Берег;real_estate_agent;https://sochi.cian.ru/sale/flat/301248328/;Москва и МО;sale;flat;9;19;2;130.0;75000000;Центральный; Нагорная;11;;
Средастрой Новороссийск;developer;https://novorossiysk.cian.ru/sale/flat/307130577/;Москва и МО;sale;flat;2;17;2;58.66;13198500;;;;;Золотой берег 2
ID 95814020;realtor;https://www.cian.ru/sale/flat/308490853/;Москва и МО;sale;flat;12;17;2;71.0;17500000;; Никитина;11к4;Рассказовка;
ID 285016;homeowner;https://www.cian.ru/sale/flat/307877352/;Москва и МО;sale;flat;19;21;2;51.0;26600000;Очаково-Матвеевское; Малая Очаковская;4Ак1;Озёрная;Мичуринский парк
ПАРК АВЕНЮ;developer;https://krasnodar.cian.ru/sale/flat/307199095/;Москва и МО;sale;flat;3;6;2;45.4;5902000;Горячий Ключ; Ярославского;100В;;Ярославский
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/299655879/;Москва и МО;sale;flat;14;24;2;46.0;31000000;Очаково-Матвеевское;Нежинская ;5к2;Матвеевская;Городские резиденции SPIRES
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/296106356/;Москва и МО;sale;flat;6;7;2;96.0;260000000;Хамовники; Льва Толстого;23к1;Парк Культуры;Литератор
ЭНКО;developer;https://tyumen.cian.ru/sale/flat/297298593/;Москва и МО;sale;flat;2;17;2;52.68;6460000;д. Патрушева; Петра Ершова;12;;ЖР 
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/308064930/;Москва и МО;sale;flat;5;24;2;75.0;48000000;Хорошево-Мневники;Шелепихинская набережная;34к3;Шелепиха;Сердце Столицы
Недвижимость у моря;real_estate_agent;https://sochi.cian.ru/sale/flat/308146438/;Москва и МО;sale;flat;4;4;2;40.0;11500000;Адлерский; Медовая;80А;;
Эталон;developer;https://ekb.cian.ru/sale/flat/308414252/;Москва и МО;sale;flat;11;16;2;47.1;6579206;Чкаловский;;;Ботаническая;Жилой район Солнечный
Недвижимость у моря;real_estate_agent;https://sochi.cian.ru/sale/flat/308901482/;Москва и МО;sale;flat;4;5;2;57.0;15200000;Адлерский; Ленина;172Б;;
R1 Development;developer;https://ekb.cian.ru/sale/flat/303900194/;Москва и МО;sale;flat;2;8;2;63.63;10923108;Орджоникидзевский; Уральских Рабочих;26;Проспект Космонавтов;Банников Дом
НЕДВИЖИМОСТЬ 23;real_estate_agent;https://sochi.cian.ru/sale/flat/307942684/;Москва и МО;sale;flat;7;9;2;56.0;12170000;Центральный; Навагинская;12;;
Гранд Недвижимость;real_estate_agent;https://sochi.cian.ru/sale/flat/298256595/;Москва и МО;sale;flat;2;4;2;70.0;9900000;Лазаревский;Львовская ;70Ак3;;
Первостроитель;developer;https://ekb.cian.ru/sale/flat/297995554/;Москва и МО;sale;flat;14;25;2;70.6;11733000;Кировский; Комсомольская;67;Геологическая;Жилой квартал Комсомольская 67
Гранд Недвижимость;real_estate_agent;https://sochi.cian.ru/sale/flat/306301930/;Москва и МО;sale;flat;2;3;2;50.0;11200000;Лазаревский;Львовская ;70Ак2;;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/304869833/;Москва и МО;sale;flat;44;44;2;86.3;38000000;Хорошево-Мневники; Шеногина;;Шелепиха;Sydney City
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/300752652/;Москва и МО;sale;flat;16;19;2;50.3;9235080;Советский;;3;Горки;Светлая Долина ЖК
Rielt Group Agency;real_estate_agent;https://spb.cian.ru/sale/flat/303466147/;Москва и МО;sale;flat;1;10;2;57.6;8750000;Кировский; Лени Голикова;98К2;Проспект Ветеранов;
Гранд Недвижимость;real_estate_agent;https://sochi.cian.ru/sale/flat/308829800/;Москва и МО;sale;flat;10;10;2;45.5;12250000;Хостинский; Мацестинская;17/1;;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/304437850/;Москва и МО;sale;flat;5;8;2;44.6;7763000;Верх-Исетский;;;Площадь 1905 года;Русь-2 ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/306226871/;Москва и МО;sale;flat;3;14;2;106.9;160350000;Хамовники;переулок 1-й Тружеников;16;Киевская;Brodsky
Василий Мельник;realtor;https://mytishchi.cian.ru/sale/flat/289793101/;Москва и МО;sale;flat;2;13;2;63.1;9500000;; Колпакова;25;Медведково;
Таврида Девелопмент;developer;https://krym.cian.ru/sale/flat/299892583/;Москва и МО;sale;flat;2;9;2;49.07;21968639;Массандра пгт; Мухина;17А;;Клубный дом Массандра Парк
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/306829886/;Москва и МО;sale;flat;5;14;2;73.1;65520000;Замоскворечье;Мытная ;7с1;Серпуховская;Английский квартал
Екатерина Боброва;realtor;https://www.cian.ru/sale/flat/308798471/;Москва и МО;sale;flat;9;9;2;50.0;17500000;Северное Тушино; Фомичевой;3С1;Сходненская;
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/301019681/;Москва и МО;sale;flat;5;22;2;48.02;10756480;Советский;ПК1-1;ПК1-1;Горки;Мой Ритм ЖК
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/307963741/;Москва и МО;sale;flat;1;16;2;56.0;13750000;Очаково-Матвеевское;Матвеевская ;6;Матвеевская;
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/307751811/;Москва и МО;sale;flat;3;8;2;57.0;46900000;Тверской;Тверская ;17;Пушкинская;
AVA;developer;https://krasnodar.cian.ru/sale/flat/307190072/;Москва и МО;sale;flat;4;12;2;55.2;8103360;мкр. 9-й километр; Ярославская;115лит7;;Небо
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/305024150/;Москва и МО;sale;flat;12;16;2;54.0;16399000;Можайский;Можайское шоссе;33;Рабочий посёлок;
Webster;real_estate_agent;https://www.cian.ru/sale/flat/307945716/;Москва и МО;sale;flat;3;8;2;55.5;24000000;Ломоносовский; Строителей;7К1;Университет;
AVA;developer;https://krasnodar.cian.ru/sale/flat/302609107/;Москва и МО;sale;flat;3;22;2;69.09;14529627;мкр. Аврора; Имени Дзержинского;95;;AVrorA
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/307103955/;Москва и МО;sale;flat;24;24;2;58.0;37490000;Хорошево-Мневники;Шелепихинская набережная;34к3;Шелепиха;Сердце Столицы
ID 47664046;unknown;https://www.cian.ru/sale/flat/308165149/;Москва и МО;sale;flat;10;12;2;52.0;13200000;Царицыно;Луганская ;3К2;Царицыно;
НВМ;representative_developer;https://krasnodar.cian.ru/sale/flat/308001548/;Москва и МО;sale;flat;6;7;2;66.4;7968000;;;;;История 2
BRIGHT ESTATE - городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/303778337/;Москва и МО;sale;flat;9;14;2;99.9;134500000;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
Влюблённые в недвижимость;real_estate_agent;https://spb.cian.ru/sale/flat/308377523/;Москва и МО;sale;flat;6;6;2;55.9;21600000;Петроградский;Ораниенбаумская ;20;Чкаловская;
Первостроитель;developer;https://ekb.cian.ru/sale/flat/293993893/;Москва и МО;sale;flat;13;27;2;61.78;12089000;Кировский; Мира;47/6;Геологическая;Проспект Мира. Компаунд
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307079313/;Москва и МО;sale;flat;9;14;2;77.0;62000000;Раменки;проспект Генерала Дорохова;39к1Г;Минская;Собрание клубных домов West Garden
Эльдениз Джафаров;realtor;https://khimki.cian.ru/sale/flat/278651048/;Москва и МО;sale;flat;5;15;2;37.3;5800000;Велтон Парк Новая Сходня мкр; Беговая;12;;Wellton Park Новая Сходня
Северная Компания;developer;https://ryazan.cian.ru/sale/flat/303065634/;Москва и МО;sale;flat;2;16;2;49.4;6031500;Московский;;;;Бирюзова Парк ЖК
ID 85604823;unknown;https://www.cian.ru/sale/flat/305015991/;Москва и МО;sale;flat;26;41;2;50.0;34000000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
ID 94542124;homeowner;https://www.cian.ru/sale/flat/308767223/;Москва и МО;sale;flat;5;18;2;39.9;22500000;Левобережный;Фестивальная ;15К4;Речной вокзал;Фестиваль парк-2
Альянс;developer;https://rostov.cian.ru/sale/flat/293649137/;Москва и МО;sale;flat;2;7;2;77.88;28815600;Кировский;Социалистическая ;118;;Дом-резиденция Собрание
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/307826522/;Москва и МО;sale;flat;3;9;2;148.5;189000000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308686231/;Москва и МО;sale;flat;4;9;2;47.0;26700000;Раменки; Дружбы;2/19;Ломоносовский проспект;
ФСК;developer;https://kazan.cian.ru/sale/flat/308706320/;Москва и МО;sale;flat;3;7;2;42.1;5805716;;;;;ФоРест
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/297469215/;Москва и МО;sale;flat;8;9;2;64.2;77000000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
Неометрия;developer;https://sochi.cian.ru/sale/flat/308285408/;Москва и МО;sale;flat;2;17;2;44.2;18011500;Адлерский;;;;Лестория
ID 103141283;homeowner;https://krasnoyarsk.cian.ru/sale/flat/308006250/;Москва и МО;sale;flat;3;5;2;42.6;3850000;Свердловский;Медицинский переулок;3;;
ИНАЧЕ;developer;https://krasnodar.cian.ru/sale/flat/300885834/;Москва и МО;sale;flat;8;18;2;54.46;7272280;;;;;Иначе в Молодежном
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/293704749/;Москва и МО;sale;flat;4;38;2;65.0;23000000;Ростокино;проспект Мира;188Бк4;Ростокино;Триколор
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/306188777/;Москва и МО;sale;flat;2;5;2;61.01;20053987;Вахитовский;;;Кремлёвская;Дом на Исхаки ЖК
ID 18111054;unknown;https://kotelniki.cian.ru/sale/flat/300511360/;Москва и МО;sale;flat;21;33;2;52.4;11550000;; Сосновая;5к1;Котельники;
DOGMA;developer;https://novorossiysk.cian.ru/sale/flat/307281902/;Москва и МО;sale;flat;4;18;2;48.4;7211600;;;;;Порто-Ново
Villagio Realty;real_estate_agent;https://www.cian.ru/sale/flat/308633321/;Москва и МО;sale;flat;7;25;2;62.9;20500000;Покровское-Стрешнево; Большая Набережная;19к3;Тушинская;
СМУ-88;developer;https://kazan.cian.ru/sale/flat/308963631/;Москва и МО;sale;flat;4;19;2;43.5;13343326;Вахитовский;;;Площадь Тукая;Яналиф ЖК
Мир Недвижимости;real_estate_agent;https://dmitrov.cian.ru/sale/flat/287505029/;Москва и МО;sale;flat;1;4;2;49.6;4550000;Дмитров;Рогачевская ;35;;
Магазин новостроек;representative_developer;https://krasnodar.cian.ru/sale/flat/285186532/;Москва и МО;sale;flat;15;24;2;54.68;11377500;;;;;Гарантия на Обрывной
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/308912854/;Москва и МО;sale;flat;2;9;2;64.0;27200000;Лефортово;Красноказарменная ;14Ак4;Авиамоторная;Лефортово парк
Edelweiss;developer;https://vladivostok.cian.ru/sale/flat/302518905/;Москва и МО;sale;flat;5;22;2;62.7;14721000;Первомайский;Кизлярская ;;;Edelweiss Золотой Рог
ТСН Владис;real_estate_agent;https://korolev.cian.ru/sale/flat/306789052/;Москва и МО;sale;flat;4;4;2;57.7;12100000;;Бурковский проезд;36к5;Ботанический сад;Театральный парк
BrokerStreet;representative_developer;https://kaliningrad.cian.ru/sale/flat/306559291/;Москва и МО;sale;flat;2;4;2;74.53;17300000;Светлогорск; Нахимова;;;Палатиум
ID 49930636;homeowner;https://krasnogorsk.cian.ru/sale/flat/307820982/;Москва и МО;sale;flat;4;26;2;59.9;14700000;;бульвар Ильинский;2А;Пенягино;Павшинская пойма мкрн. 4
VESPER;developer;https://www.cian.ru/sale/flat/286258299/;Москва и МО;sale;flat;5;9;2;104.2;150958800;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
Агентство недвижимости Романа Чиковани;real_estate_agent;https://spb.cian.ru/sale/flat/304650198/;Москва и МО;sale;flat;4;12;2;45.0;7700000;;проспект Строителей;5к1;Улица Дыбенко;ID Kudrovo
Садовое кольцо;developer;https://ufa.cian.ru/sale/flat/308919272/;Москва и МО;sale;flat;5;16;2;55.55;8598418;Кировский;Зеленая Роща жилрайон;;;Терле Парк ЖК
Владимир Ягодкин;realtor;https://spb.cian.ru/sale/flat/306701348/;Москва и МО;sale;flat;12;12;2;55.0;14990000;Приморский;Камышовая ;3К1;Комендантский проспект;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/303040441/;Москва и МО;sale;flat;4;6;2;102.7;114715900;Арбат;Поварская ;8/1к1;Арбатская;De Luxe квартал апартаментов Театральный Дом
Est-a-Tet Агент;real_estate_agent;https://www.cian.ru/sale/flat/308886354/;Москва и МО;sale;flat;25;28;2;57.9;33200000;Раменки;Винницкая ;8к4;Раменки;Настоящее
Магазин новостроек;representative_developer;https://novorossiysk.cian.ru/sale/flat/304442367/;Москва и МО;sale;flat;21;22;2;41.71;5901000;мкр. Приморский; Рассветная;;;Малина
Магазин новостроек;representative_developer;https://sochi.cian.ru/sale/flat/303245849/;Москва и МО;sale;flat;2;12;2;52.76;19257400;Центральный;Пластунская ;104Б;;Южный Парк
Kalinka Group;real_estate_agent;https://odintsovo.cian.ru/sale/flat/291589677/;Москва и МО;sale;flat;3;6;2;236.0;130000000;;;;;Жуковка Шале
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://vidnoye.cian.ru/sale/flat/302233308/;Москва и МО;sale;flat;4;14;2;53.0;11450000;пос. Развилка;проезд Римский;5;;Римский
Неометрия;developer;https://rostov.cian.ru/sale/flat/291068078/;Москва и МО;sale;flat;2;10;2;43.53;9289302;Ленинский;проспект Сиверса;8/1;;1799
Romanov Estate;real_estate_agent;https://www.cian.ru/sale/flat/306079971/;Москва и МО;sale;flat;15;20;2;79.4;29870000;Нагатино-Садовники;Варшавское шоссе;37АК1;Нагатинская;Rotterdam
BEYOND. ex-Engel Volkers;real_estate_agent;https://spb.cian.ru/sale/flat/297371569/;Москва и МО;sale;flat;4;6;2;76.6;37103093;Петроградский;Петровский проспект;2с2;Спортивная;"Элитный комплекс ""ROYAL PARK"""
Магазин новостроек;representative_developer;https://krasnodar.cian.ru/sale/flat/306495763/;Москва и МО;sale;flat;2;8;2;34.01;3781912;;;;;Молодежный 2
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308239254/;Москва и МО;sale;flat;12;19;2;84.0;59000000;Хорошево-Мневники;Шелепихинская набережная;34к2;Шелепиха;Сердце Столицы
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/296403571/;Москва и МО;sale;flat;4;8;2;64.0;39900000;Тверской;Благовещенский переулок;5;Маяковская;
СМУ-88;developer;https://kazan.cian.ru/sale/flat/308681021/;Москва и МО;sale;flat;4;18;2;61.75;14000105;Кировский;Ягодинская ;;Козья слобода;Крыловка парк
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/306652887/;Москва и МО;sale;flat;9;68;2;92.0;110000000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/293510493/;Москва и МО;sale;flat;8;22;2;87.2;38000000;Раменки; Пырьева;9К1;Поклонная;
Магазин новостроек;representative_developer;https://krasnodar.cian.ru/sale/flat/302998102/;Москва и МО;sale;flat;11;21;2;59.75;7394361;;;;;Микрорайон Образцово
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/305738210/;Москва и МО;sale;flat;18;79;2;71.8;48000000;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
ID 12468212;homeowner;https://www.cian.ru/sale/flat/308182993/;Москва и МО;sale;flat;2;17;2;63.0;19150000;; Радужная;8;Рассказовка;
Деловой Квартал;developer;https://ekb.cian.ru/sale/flat/304227417/;Москва и МО;sale;flat;3;25;2;57.05;9404975;Октябрьский;;;Ботаническая;Премиум Кварталы Маяковка ЖК
Этажи Москва;real_estate_agent;https://balashikha.cian.ru/sale/flat/308583683/;Москва и МО;sale;flat;19;20;2;68.8;12000000;;шоссе Косинское;5/7;Ольгино;Новоград Павлино
