author_type,url,floor,floors_count,rooms_count,total_meters,price,underground
developer,https://ufa.cian.ru/sale/flat/302077155/,7,30,2,59.88,10036607.0,
real_estate_agent,https://www.cian.ru/sale/flat/304872335/,6,13,2,120.2,90150000.0,Смоленская
real_estate_agent,https://www.cian.ru/sale/flat/308342683/,4,8,2,46.8,24390000.0,Ломоносовский проспект
real_estate_agent,https://www.cian.ru/sale/flat/307196427/,12,22,2,52.0,19900000.0,Стрешнево
real_estate_agent,https://www.cian.ru/sale/flat/296403571/,4,8,2,64.0,39900000.0,Маяковская
developer,https://www.cian.ru/sale/flat/308261025/,4,17,2,49.8,57968000.0,Воробьёвы горы
real_estate_agent,https://www.cian.ru/sale/flat/305754536/,36,79,2,83.2,120000000.0,Москва-Сити
real_estate_agent,https://sochi.cian.ru/sale/flat/300473065/,12,14,1,31.0,10900000.0,
real_estate_agent,https://www.cian.ru/sale/flat/308421883/,9,20,1,39.74,16802072.0,Тульская
real_estate_agent,https://www.cian.ru/sale/flat/294511036/,4,23,2,90.6,45000000.0,ЦСКА
real_estate_agent,https://www.cian.ru/sale/flat/308554158/,6,6,2,62.8,62000000.0,Парк Культуры
developer,https://www.cian.ru/sale/flat/308909118/,6,13,2,85.19,126021567.0,Цветной бульвар
real_estate_agent,https://www.cian.ru/sale/flat/308999937/,19,41,2,71.0,46500000.0,Шелепиха
developer,https://www.cian.ru/sale/flat/306614387/,3,21,2,59.6,23207346.0,Павелецкая
real_estate_agent,https://www.cian.ru/sale/flat/304287538/,3,8,2,50.0,72000000.0,Новокузнецкая
real_estate_agent,https://www.cian.ru/sale/flat/307812448/,27,39,2,63.88,32990000.0,Аминьевская
real_estate_agent,https://www.cian.ru/sale/flat/304194999/,4,10,2,88.0,74000000.0,Динамо
developer,https://kazan.cian.ru/sale/flat/304842102/,4,5,1,40.17,14461200.0,Кремлёвская
real_estate_agent,https://www.cian.ru/sale/flat/304491113/,11,13,2,81.9,43500000.0,Раменки
real_estate_agent,https://www.cian.ru/sale/flat/308759283/,8,11,2,73.4,70000000.0,Белорусская
developer,https://www.cian.ru/sale/flat/301459955/,4,11,2,85.3,77775516.0,Павелецкая
real_estate_agent,https://www.cian.ru/sale/flat/273273999/,16,46,2,59.1,23500000.0,Калужская
real_estate_agent,https://sergiyev-posad.cian.ru/sale/flat/306032175/,7,9,2,73.9,9200000.0,
developer,https://rostov.cian.ru/sale/flat/296504787/,2,8,1,42.78,4962480.0,
realtor,https://sochi.cian.ru/sale/flat/306118593/,5,10,2,56.0,15200000.0,
representative_developer,https://kaliningrad.cian.ru/sale/flat/308136542/,2,4,2,77.0,19120000.0,
real_estate_agent,https://www.cian.ru/sale/flat/298547671/,4,22,2,66.0,34500000.0,Молодёжная
developer,https://www.cian.ru/sale/flat/308462308/,7,15,2,53.7,50408190.0,Тульская
real_estate_agent,https://www.cian.ru/sale/flat/302676760/,14,41,2,48.0,31500000.0,Кутузовская
developer,https://www.cian.ru/sale/flat/306603287/,3,36,2,68.6,48137992.0,Белорусская
real_estate_agent,https://spb.cian.ru/sale/flat/307659959/,2,10,1,46.7,14477000.0,Удельная
developer,https://ufa.cian.ru/sale/flat/302975403/,3,30,1,40.27,7438594.0,
real_estate_agent,https://sochi.cian.ru/sale/flat/308930725/,7,9,2,78.0,19800000.0,
real_estate_agent,https://spb.cian.ru/sale/flat/306780674/,1,25,1,30.4,7800000.0,Комендантский проспект
real_estate_agent,https://www.cian.ru/sale/flat/303071841/,19,32,1,32.2,25000000.0,Шелепиха
developer,https://ekb.cian.ru/sale/flat/304437850/,5,8,2,44.6,7763000.0,Площадь 1905 года
real_estate_agent,https://www.cian.ru/sale/flat/281250233/,7,21,2,62.0,30000000.0,Ботанический сад
