author_type,floor,floors_count,rooms_count,total_meters,underground,availability_underground,price_per_meter
developer,18,24,3,81.1,not available,False,188400
unknown,3,4,3,77.8,not available,False,212082
developer,4,5,3,82.08,not available,False,210000
developer,12,24,3,85.2,not available,False,205000
real_estate_agent,3,3,3,100.9,not available,False,175421
developer,7,24,3,101.6,Геологическая,True,185167
developer,7,25,3,84.52,Пионерская,True,223483
developer,9,9,3,72.68,not available,False,265000
developer,8,20,3,81.41,not available,False,240000
developer,13,20,3,81.41,not available,False,240000
real_estate_agent,14,22,3,100.4,not available,False,195219
developer,7,22,3,89.5,not available,False,225352
official_representative,8,9,3,118.0,not available,False,173729
realtor,8,16,3,126.0,not available,False,165079
developer,2,9,3,99.2,Горьковская,True,212000
real_estate_agent,14,19,3,95.5,not available,False,230366
developer,4,18,3,76.2,Елизаровская,True,292200
real_estate_agent,5,6,3,68.2,not available,False,327713
developer,9,9,3,79.63,not available,False,285000
real_estate_agent,17,26,3,105.0,not available,False,233333
developer,3,20,3,76.05,Суконная слобода,True,324000
real_estate_agent,10,16,3,122.0,not available,False,204918
realtor,8,19,3,87.91,Приморская,True,324195
real_estate_agent,14,24,3,110.0,not available,False,263636
real_estate_agent,18,24,3,116.0,not available,False,275000
real_estate_agent,13,22,3,115.0,not available,False,278261
developer,2,6,3,96.5,Горьковская,True,380104
developer,9,23,3,157.0,Звездная,True,265605
developer,2,9,3,127.7,Динамо,True,356045
developer,6,8,3,164.1,not available,False,312698
real_estate_agent,23,23,3,133.2,Приморская,True,412162
real_estate_agent,16,16,3,200.0,not available,False,320000
real_estate_agent,3,9,3,137.0,Крестовский остров,True,547372
real_estate_agent,4,7,3,133.8,Крестовский остров,True,1195815
real_estate_agent,2,5,3,59.0,not available,False,45424
realtor,4,5,3,61.0,not available,False,53934
real_estate_agent,5,5,3,57.1,not available,False,63047
real_estate_agent,3,4,3,42.7,not available,False,84309
realtor,1,9,3,66.57,not available,False,56482
real_estate_agent,2,5,3,55.0,not available,False,78727
real_estate_agent,1,2,3,70.4,not available,False,61080
real_estate_agent,4,5,3,58.5,not available,False,75214
real_estate_agent,1,8,3,55.6,not available,False,79515
real_estate_agent,8,9,3,60.0,not available,False,73333
real_estate_agent,3,3,3,87.8,not available,False,51253
real_estate_agent,2,9,3,63.0,not available,False,72698
real_estate_agent,1,10,3,79.7,not available,False,59975
real_estate_agent,1,5,3,62.2,not available,False,77974
real_estate_agent,13,14,3,64.0,not available,False,76562
real_estate_agent,1,5,3,62.9,not available,False,83466
real_estate_agent,9,9,3,63.4,not available,False,83596
real_estate_agent,1,16,3,67.24,not available,False,79000
real_estate_agent,7,9,3,62.1,not available,False,85346
homeowner,9,9,3,65.3,not available,False,81164
developer,1,4,3,52.49,not available,False,101162
representative_developer,4,9,3,60.9,not available,False,90115
real_estate_agent,1,5,3,59.6,not available,False,92282
real_estate_agent,1,2,3,70.5,not available,False,78014
realtor,3,5,3,72.0,not available,False,80486
real_estate_agent,2,17,3,79.6,not available,False,74121
real_estate_agent,1,5,3,60.9,not available,False,96880
representative_developer,2,16,3,61.27,not available,False,97137
real_estate_agent,1,24,3,67.3,Площадь Маркса,True,89153
real_estate_agent,2,10,3,71.6,not available,False,83799
real_estate_agent,2,9,3,69.8,not available,False,85960
developer,1,26,3,54.5,not available,False,110569
real_estate_agent,4,9,3,69.1,not available,False,88278
developer,3,9,3,61.0,not available,False,100451
real_estate_agent,5,16,3,77.53,not available,False,80000
real_estate_agent,11,12,3,66.2,not available,False,93656
real_estate_agent,2,9,3,67.8,not available,False,98820
real_estate_agent,5,5,3,54.82,not available,False,122218
developer,1,17,3,70.2,not available,False,95399
developer,16,19,3,52.6,not available,False,129086
real_estate_agent,7,9,3,76.0,not available,False,90658
real_estate_agent,5,9,3,71.1,not available,False,95640
representative_developer,3,3,3,95.0,not available,False,72105
developer,1,17,3,83.45,not available,False,83000
real_estate_agent,3,5,3,87.0,not available,False,80345
developer,7,25,3,54.5,not available,False,129746
developer,2,9,3,53.5,not available,False,132123
representative_developer,1,10,3,62.89,not available,False,112005
developer,2,20,3,56.5,not available,False,125221
developer,2,15,3,82.0,not available,False,87032
real_estate_agent,7,10,3,88.3,not available,False,82673
developer,3,24,3,71.35,not available,False,107903
developer,13,13,3,56.61,not available,False,138894
developer,2,14,3,79.0,not available,False,100165
developer,12,17,3,9.0,not available,False,882072
real_estate_agent,3,8,3,62.6,not available,False,127796
representative_developer,5,13,3,98.83,not available,False,82362
developer,1,14,3,75.5,not available,False,109000
realtor,1,11,3,80.0,Студенческая,True,103125
developer,12,17,3,70.9,not available,False,117120
developer,21,24,3,75.0,not available,False,112667
developer,1,14,3,81.4,not available,False,106000
developer,22,23,3,78.6,not available,False,109848
developer,1,23,3,81.2,not available,False,107916
real_estate_agent,1,3,3,77.8,not available,False,114396
developer,11,12,3,62.1,not available,False,146000
real_estate_agent,5,5,3,68.7,not available,False,134643
developer,1,16,3,91.82,not available,False,100787
developer,1,21,3,77.4,not available,False,122088
real_estate_agent,11,17,3,70.0,not available,False,136429
developer,1,15,3,96.9,not available,False,99587
developer,1,8,3,91.3,not available,False,107500
developer,19,25,3,75.0,Уральская,True,130660
real_estate_agent,25,25,3,60.0,not available,False,166667
real_estate_agent,2,14,3,110.1,not available,False,90817
real_estate_agent,5,10,3,105.0,not available,False,95238
