author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Chase R.E.S.,real_estate_agent,https://www.cian.ru/sale/flat/302083789/,Москва и МО,sale,flat,10,10,3,99.5,-1,0,48500000.0,Раменки, Янковского,1к1,Аминьевская,Событие
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/304689453/,Москва и МО,sale,flat,15,18,3,112.5,-1,0,58000000.0,Можайский, Багрицкого,18,Кунцевская,Свой
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/308950528/,Москва и МО,sale,flat,12,24,3,70.0,-1,0,58500000.0,Хорошевский,Хорошевское шоссе,25Ак1,Полежаевская,Династия
Whitewill,real_estate_agent,https://odintsovo.cian.ru/sale/flat/309003169/,Москва и МО,sale,flat,12,12,3,189.2,-1,0,60000000.0,Заречье рп,Сосновая ,10,,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/299102448/,Москва и МО,sale,flat,24,32,3,83.3,-1,0,60000000.0,Даниловский,Летниковская ,11/10С26,Павелецкая,HIGH LIFE
Егор Симинеев,realtor,https://www.cian.ru/sale/flat/307810485/,Москва и МО,sale,flat,11,16,3,85.4,-1,0,60000000.0,Беговой,Северный ао,К2,Белорусская,Слава ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/304076119/,Москва и МО,sale,flat,2,5,3,81.0,-1,0,63990000.0,Тверской,Долгоруковская ,25к2,Новослободская,Долгоруковская 25
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/309127786/,Москва и МО,sale,flat,16,18,3,76.6,-1,0,64000000.0,Можайский,Гжатская ,5к4,Давыдково,LIFE-Кутузовский
One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/303706991/,Москва и МО,sale,flat,14,34,3,98.6,-1,0,79000000.0,Пресненский, Пресненский Вал,27С11,Белорусская,Republic
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/308236882/,Москва и МО,sale,flat,19,22,3,115.0,-1,0,82350000.0,Крылатское, Крылатские Холмы,33К3,Крылатское,Крылатские Огни
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/308830275/,Москва и МО,sale,flat,17,23,3,125.0,-1,0,82850000.0,Очаково-Матвеевское,Староволынская ,12к5,Матвеевская,Волынский
Chase R.E.S.,real_estate_agent,https://www.cian.ru/sale/flat/297554265/,Москва и МО,sale,flat,8,16,3,81.4,-1,0,95000000.0,Пресненский,Мантулинская ,9к3,Москва-Сити,City Park
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/305195698/,Москва и МО,sale,flat,5,7,3,130.0,-1,0,110000000.0,Замоскворечье, Малая Ордынка,3,Третьяковская,
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/307254751/,Москва и МО,sale,flat,5,21,3,120.0,-1,0,115000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/306212545/,Москва и МО,sale,flat,2,3,3,234.7,-1,0,125000000.0,Хорошево-Мневники,Таманская ,1,Народное Ополчение,Берег столицы
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/307254752/,Москва и МО,sale,flat,4,8,3,130.0,-1,0,130000000.0,Якиманка,1-й Спасоналивковский переулок,18С2,Полянка,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/304064468/,Москва и МО,sale,flat,2,4,3,134.0,-1,0,136000000.0,Арбат, Малая Молчановка,6,Арбатская,
Метриум Премиум Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/308343502/,Москва и МО,sale,flat,14,37,3,100.9,-1,0,150000000.0,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/308709754/,Москва и МО,sale,flat,5,8,3,125.3,-1,0,158500000.0,Таганский,Тессинский переулок,1,Чкаловская,"Тессинский, 1"
Stapler Estate,real_estate_agent,https://www.cian.ru/sale/flat/306172299/,Москва и МО,sale,flat,2,6,3,165.0,-1,0,399500000.0,Хамовники,Курсовой переулок,10/1,Кропоткинская,Nabokov
Адресат,real_estate_agent,https://volgograd.cian.ru/sale/flat/302169417/,Москва и МО,sale,flat,4,5,3,61.8,-1,0,2599000.0,Красноармейский,Саушинская ,6,,
Адресат,real_estate_agent,https://volgograd.cian.ru/sale/flat/308706982/,Москва и МО,sale,flat,4,5,3,59.1,-1,0,3170000.0,Тракторозаводский, Жолудева,11,,
Адресат,real_estate_agent,https://volgograd.cian.ru/sale/flat/308955241/,Москва и МО,sale,flat,5,5,3,57.7,-1,0,3250000.0,Тракторозаводский, Борьбы,12,,
Русская Жилищная Компания,real_estate_agent,https://yaroslavl.cian.ru/sale/flat/301675894/,Москва и МО,sale,flat,5,5,3,63.7,-1,0,3250000.0,Дзержинский, Громова,18,,
Адресат,real_estate_agent,https://volgograd.cian.ru/sale/flat/298469054/,Москва и МО,sale,flat,5,5,3,56.3,-1,0,3550000.0,Дзержинский,проспект Маршала Жукова,157,,
Альянс Московский Дом,official_representative,https://kaluga.cian.ru/sale/flat/306937417/,Москва и МО,sale,flat,4,5,3,49.3,-1,0,4100000.0,Ленинский,Тульская ,137,,
Отдел продаж,real_estate_agent,https://yaroslavl.cian.ru/sale/flat/309091615/,Москва и МО,sale,flat,1,9,3,60.8,-1,0,4150000.0,Заволжский,проезд Доброхотова,16к2,,
ВолгаЖилСтрой,real_estate_agent,https://nn.cian.ru/sale/flat/293949831/,Москва и МО,sale,flat,5,5,3,59.5,-1,0,4400000.0,Автозаводский,,29,,
