author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,phone,district,street,house_number,underground,residential_complex
Самолет,developer,https://www.cian.ru/sale/flat/308966539/,Москва,sale,flat,7,8,1,35.29,-1,0,8956296,2025,-1,"Монолитно-кирпичный, монолитный",-1,"Без отделки, чистовая","10,3 м²","15,9 м²",+74951378825,,,к23,Рассказовка,Новое Внуково ЖК
А101,developer,https://www.cian.ru/sale/flat/308314036/,Москва,sale,flat,11,13,1,33.4,-1,0,8906567,2026,-1,"Монолитно-кирпичный, монолитный",-1,"Без отделки, предчистовая, черновая, чистовая","12,1 м²","9,4 м²",+74951379021,,,18.1.4,Бунинская аллея,Скандинавия ЖК
Октава-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/307868535/,Москва,sale,flat,10,17,1,39.0,-1,0,9080000,1998,-1,-1,-1,-1,19 м²,8 м²,+79680122716,Царицыно,Кавказский бульвар,50,Кавказский бульвар,
Абсолют Недвижимость,developer,https://www.cian.ru/sale/flat/309050926/,Москва,sale,flat,6,20,1,35.2,-1,0,9152785,2027,-1,"Панельный, монолитный",-1,"Без отделки, чистовая","11,4 м²",-1,+74951475836,,,3,Филатов Луг,Город-парк Первый Московский
Самолет,developer,https://www.cian.ru/sale/flat/308913358/,Москва,sale,flat,4,16,1,27.54,-1,0,9225735,2027,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая","11,9 м²","6,4 м²",+74951345087,Бирюлево Восточное,,к2,Орехово,Квартал Герцена ЖК
Самолет,developer,https://www.cian.ru/sale/flat/308648906/,Москва,sale,flat,10,10,1,37.88,-1,0,9327378,2024,-1,"Монолитно-кирпичный, монолитный",-1,"Без отделки, чистовая","10,9 м²","19,1 м²",+74951378825,,,к18,Рассказовка,Новое Внуково ЖК
Самолет,developer,https://www.cian.ru/sale/flat/308966534/,Москва,sale,flat,7,9,1,37.04,-1,0,9419227,2025,-1,"Монолитно-кирпичный, монолитный",-1,"Без отделки, чистовая","10,8 м²","9,8 м²",+74951378825,,,к23,Рассказовка,Новое Внуково ЖК
СМАРЕНТ,real_estate_agent,https://www.cian.ru/sale/flat/304430051/,Москва,sale,flat,6,22,1,39.9,-1,0,9550000,2021,-1,-1,-1,-1,30 м²,5 м²,+79160427440,, Картмазовские Пруды,2к3,Филатов Луг,
Аквилон,developer,https://www.cian.ru/sale/flat/306728117/,Москва,sale,flat,2,23,1,41.7,-1,0,9679000,2026,-1,Монолитно-кирпичный,-1,"Без отделки, предчистовая, чистовая","25,3 м²","2,6 м²",+74951387166,Отрадное,Сигнальный проезд,12,Владыкино,Akvilon Signal
ПИК,developer,https://www.cian.ru/sale/flat/309108591/,Москва,sale,flat,8,17,1,32.6,-1,0,9729470,2025,-1,"Панельный, монолитный",-1,Чистовая,"12,5 м²","10,6 м²",+74951387148,Люблино,14.2,14.2,Братиславская,Люблинский парк ЖК
ПИК,developer,https://www.cian.ru/sale/flat/308319299/,Москва,sale,flat,29,32,1,32.1,-1,0,9791783,2025,-1,Монолитный,-1,"Без отделки, чистовая","9,4 м²","16,2 м²",+74951377004,Митино,,2.2,Пятницкое шоссе,Митинский Лес ЖК
Самолет,developer,https://www.cian.ru/sale/flat/308652225/,Москва,sale,flat,2,12,1,46.92,-1,0,9911150,2025,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая","14,4 м²","19,9 м²",+74951374954,,,16,Щербинка,Алхимово ЖК
Century 21 Level,real_estate_agent,https://www.cian.ru/sale/flat/307482485/,Москва,sale,flat,7,9,1,34.0,-1,0,9950000,-1,-1,-1,-1,-1,18 м²,6 м²,+79660560633,Чертаново Центральное,Днепропетровская ,5К5,Южная,
А101,developer,https://www.cian.ru/sale/flat/306748402/,Москва,sale,flat,2,19,1,48.0,-1,0,10026115,2025,-1,-1,-1,Без отделки,"15,2 м²","15,5 м²",+74951344536,,,5.1,Бунинская аллея,Бунинские Кварталы ЖК
ПИК,developer,https://www.cian.ru/sale/flat/306207555/,Москва,sale,flat,5,32,1,37.7,-1,0,10178208,2026,-1,Монолитный,-1,Чистовая,"9,6 м²","19,2 м²",+74951387182,Западное Дегунино,,,Речной вокзал,Бусиновский Парк ЖК
Самолет,developer,https://www.cian.ru/sale/flat/308913352/,Москва,sale,flat,2,30,1,34.66,-1,0,10327328,2027,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая","10,3 м²","15,3 м²",+74951345087,Бирюлево Восточное,,к2,Орехово,Квартал Герцена ЖК
А101,developer,https://www.cian.ru/sale/flat/306737412/,Москва,sale,flat,6,13,1,37.2,-1,0,10293175,2025,-1,"Монолитно-кирпичный, монолитный",-1,"Без отделки, предчистовая, черновая, чистовая","14,1 м²","13,4 м²",+74951379021,,м. Бунинская аллея,,Бунинская аллея,Скандинавия
