author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
А101,developer,https://www.cian.ru/sale/flat/306743021/,Москва,sale,flat,2,13,1,33.0,-1,0,10088067,,,к11.2.1,Прокшино,Прокшино ЖК
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/308550093/,Москва,sale,flat,9,23,1,31.9,-1,0,17900000,Хорошево-Мневники,Шелепихинская набережная,40к2,Народное Ополчение,Sydney City
Северная слобода,real_estate_agent,https://www.cian.ru/sale/flat/305813403/,Москва,sale,flat,3,3,1,31.3,-1,0,11800000,Северный,Дмитровское шоссе,122Гк4,Физтех,
А101,developer,https://www.cian.ru/sale/flat/306743329/,Москва,sale,flat,2,24,1,34.0,-1,0,8928743,,,3.1,Новомосковская,Дзен-кварталы ЖК
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/299010726/,Москва,sale,flat,4,4,1,37.0,-1,0,37400000,Мещанский, Кузнецкий Мост,19С1,Кузнецкий мост,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/303679273/,Москва,sale,flat,19,21,1,30.5,-1,0,9700000,Лосиноостровский,Тайнинская ,9к1,Медведково,Нормандия
Основа,developer,https://www.cian.ru/sale/flat/302079090/,Москва,sale,flat,6,36,1,35.7,-1,0,10638600,Ярославский,проспект Мира,222,Ростокино,МИРАПОЛИС
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/307949143/,Москва,sale,flat,2,13,1,40.0,-1,0,24000000,Даниловский, Архитектора Щусева,5к2,ЗИЛ,ЗИЛАРТ
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/307750562/,Москва,sale,flat,18,33,1,42.1,-1,0,14999000,Метрогородок,Открытое шоссе,18Ак1,Бульвар Рокоссовского,Лосиноостровский парк
А101,developer,https://www.cian.ru/sale/flat/306745759/,Москва,sale,flat,5,17,1,33.0,-1,0,7582202,,,7.1,Бунинская аллея,Бунинские Кварталы ЖК
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/294620343/,Москва,sale,flat,7,13,1,50.8,-1,0,30000000,Хорошево-Мневники,Жилой комплекс остров,к4,Терехово ,Остров
