author_type,url,floor,floors_count,rooms_count,total_meters,price,underground,availability_underground,price_per_meter
real_estate_agent,https://www.cian.ru/sale/flat/305924959/,4,5,2,53.9,19790000,Университет,True,367161
real_estate_agent,https://www.cian.ru/sale/flat/303789273/,11,34,1,46.4,19990000,Воронцовская,True,430819
real_estate_agent,https://www.cian.ru/sale/flat/308421741/,13,17,2,52.2,19950000,Тропарёво,True,382184
real_estate_agent,https://www.cian.ru/sale/flat/308633321/,7,25,2,62.9,20500000,Тушинская,True,325914
real_estate_agent,https://www.cian.ru/sale/flat/308490659/,12,12,1,42.06,20600000,Спартак,True,489777
real_estate_agent,https://www.cian.ru/sale/flat/308467163/,5,14,2,48.25,21999000,Автозаводская,True,455938
real_estate_agent,https://www.cian.ru/sale/flat/306756745/,18,27,2,60.0,23000000,Авиамоторная,True,383333
realtor,https://www.cian.ru/sale/flat/308178641/,19,24,2,60.0,23200000,Бульвар Рокоссовского,True,386667
real_estate_agent,https://www.cian.ru/sale/flat/304119233/,8,24,2,45.2,23300000,Народное Ополчение,True,515487
real_estate_agent,https://www.cian.ru/sale/flat/304298307/,13,24,1,42.9,24000000,Полежаевская,True,559441
real_estate_agent,https://www.cian.ru/sale/flat/308768570/,14,48,1,42.0,24500000,Народное Ополчение,True,583333
real_estate_agent,https://www.cian.ru/sale/flat/308567756/,6,12,2,49.9,24740000,Багратионовская,True,495792
realtor,https://www.cian.ru/sale/flat/306101401/,11,24,2,61.4,24990000,Отрадное,True,407003
real_estate_agent,https://www.cian.ru/sale/flat/308803035/,3,8,2,57.7,25499000,Вавиловская,True,441924
real_estate_agent,https://www.cian.ru/sale/flat/299215919/,9,21,2,56.9,28999000,Зорге,True,509649
real_estate_agent,https://www.cian.ru/sale/flat/297359190/,11,20,2,64.0,30000000,Шелепиха,True,468750
real_estate_agent,https://www.cian.ru/sale/flat/308536828/,14,28,2,67.0,30000000,Рабочий посёлок,True,447761
real_estate_agent,https://www.cian.ru/sale/flat/306867070/,16,36,1,41.1,31500000,ЦСКА,True,766423
real_estate_agent,https://www.cian.ru/sale/flat/306977986/,9,21,1,42.1,31900000,Чкаловская,True,757720
real_estate_agent,https://www.cian.ru/sale/flat/307108276/,1,6,2,58.8,32340000,Таганская,True,550000
real_estate_agent,https://www.cian.ru/sale/flat/288460035/,9,21,2,50.3,32900000,Чкаловская,True,654076
real_estate_agent,https://www.cian.ru/sale/flat/308628895/,14,41,2,49.73,33000000,Кутузовская,True,663583
real_estate_agent,https://www.cian.ru/sale/flat/307145183/,1,10,2,63.5,33900000,Фрунзенская,True,533858
real_estate_agent,https://www.cian.ru/sale/flat/302231767/,9,46,2,49.0,35000000,Фили,True,714286
real_estate_agent,https://www.cian.ru/sale/flat/308475472/,7,19,2,77.0,35300000,Спартак,True,458442
realtor,https://www.cian.ru/sale/flat/305248319/,14,40,2,65.6,36500000,ЗИЛ,True,556402
real_estate_agent,https://www.cian.ru/sale/flat/307996388/,2,5,2,60.0,38500000,Парк Культуры,True,641667
real_estate_agent,https://www.cian.ru/sale/flat/302295108/,10,46,2,58.5,39900000,Павелецкая,True,682051
real_estate_agent,https://www.cian.ru/sale/flat/306359685/,3,6,2,82.0,49900000,Краснопресненская,True,608537
real_estate_agent,https://www.cian.ru/sale/flat/300983679/,13,21,2,80.3,52000000,Раменки,True,647572
real_estate_agent,https://www.cian.ru/sale/flat/307935729/,8,10,2,59.7,55000000,Таганская,True,921273
real_estate_agent,https://www.cian.ru/sale/flat/308783020/,35,78,2,83.0,65000000,Деловой центр,True,783133
real_estate_agent,https://www.cian.ru/sale/flat/303370372/,4,8,1,57.0,68900000,Чкаловская,True,1208772
real_estate_agent,https://www.cian.ru/sale/flat/308589364/,38,40,2,115.4,71000000,Новые Черёмушки,True,615251
real_estate_agent,https://www.cian.ru/sale/flat/299558863/,2,4,2,136.6,75000000,Тульская,True,549048
